"";"ID";"REGION";"AGE";"SEXE";"ENFANTS";"DIPLOME";"CLASSE";"data_ech_valeurs"
"43394";43394;5;50;"M";2;1;"A";219
"916212";916212;3;30;"F";0;2;"A";229
"741148";741148;5;40;"M";2;1;"B";228
"870754";870754;1;50;"M";3;1;"A";213
"766988";766988;5;40;"M";0;2;"B";219
"237023";237023;4;65;"M";1;2;"A";207
"164992";164992;2;40;"F";3;3;"A";246
"551276";551276;4;25;"M";0;3;"A";239
"715451";715451;4;35;"M";4;2;"A";253
"641420";641420;5;55;"F";1;4;"A";274
"77180";77180;4;30;"M";1;2;"A";205
"380721";380721;1;55;"F";1;2;"B";245
"936449";936449;7;60;"F";2;1;"C";232
"538992";538992;2;35;"F";3;2;"A";249
"783443";783443;7;20;"F";0;1;"C";209
"924775";924775;8;65;"M";3;2;"B";223
"587921";587921;3;25;"F";0;3;"C";260
"347512";347512;4;40;"M";0;1;"A";207
"354014";354014;5;30;"M";3;1;"C";182
"474253";474253;4;30;"M";0;4;"C";264
"956025";956025;5;25;"F";0;4;"B";274
"951999";951999;8;65;"F";2;3;"C";239
"932547";932547;8;45;"M";1;3;"A";208
"410371";410371;1;20;"F";0;2;"C";259
"140513";140513;7;45;"M";0;3;"B";261
"974913";974913;5;40;"M";1;3;"A";251
"74996";74996;2;20;"F";0;3;"A";258
"646890";646890;4;20;"F";0;3;"B";241
"849122";849122;4;35;"F";2;3;"A";233
"922483";922483;6;30;"M";2;4;"B";253
"429705";429705;2;25;"F";0;2;"A";266
"805157";805157;3;25;"M";0;2;"A";202
"364433";364433;5;40;"M";1;1;"A";213
"993758";993758;3;65;"M";3;1;"A";182
"683215";683215;8;25;"M";0;4;"C";260
"41636";41636;4;30;"F";0;2;"A";229
"187122";187122;7;50;"F";0;2;"C";255
"222271";222271;8;25;"F";0;2;"A";215
"130623";130623;2;50;"F";3;2;"A";257
"3659";3659;3;50;"M";1;1;"A";208
"279584";279584;2;55;"F";4;2;"A";249
"704714";704714;1;30;"M";1;3;"A";227
"596187";596187;8;55;"M";1;1;"C";229
"810141";810141;7;25;"M";0;1;"C";190
"503239";503239;4;45;"M";1;4;"B";250
"534025";534025;2;45;"F";1;2;"A";230
"714456";714456;4;25;"M";0;3;"A";217
"535846";535846;8;60;"M";1;2;"C";185
"558588";558588;7;40;"F";2;2;"B";297
"177929";177929;4;50;"M";1;1;"A";204
"59430";59430;7;50;"F";2;2;"A";239
"267770";267770;7;45;"F";2;1;"C";252
"412173";412173;2;25;"M";0;2;"A";224
"567454";567454;5;65;"M";2;1;"A";NA
"183761";183761;3;30;"M";3;4;"A";221
"737361";737361;4;55;"M";0;3;"A";232
"832944";832944;3;45;"M";2;3;"A";218
"973157";973157;8;40;"F";1;2;"B";255
"347567";347567;1;60;"M";2;1;"A";250
"616840";616840;4;20;"F";0;1;"B";267
"247367";247367;6;25;"M";1;3;"B";235
"919418";919418;7;25;"M";0;3;"C";233
"807068";807068;3;25;"M";1;4;"B";260
"566134";566134;8;20;"M";0;3;"A";248
"403887";403887;6;25;"M";0;1;"B";186
"662026";662026;7;20;"F";1;3;"B";272
"420280";420280;2;55;"M";2;1;"B";219
"211913";211913;3;35;"F";2;1;"A";241
"718817";718817;4;55;"F";1;3;"A";268
"578429";578429;7;20;"M";0;3;"C";236
"376444";376444;4;20;"F";0;2;"C";267
"608843";608843;6;50;"M";2;3;"A";235
"609180";609180;1;35;"F";1;3;"A";290
"611714";611714;8;55;"M";6;2;"B";267
"967330";967330;7;60;"M";3;2;"C";247
"311321";311321;7;40;"F";0;1;"A";244
"687038";687038;4;55;"M";1;3;"A";247
"81775";81775;3;20;"F";0;2;"A";267
"413993";413993;4;60;"F";4;1;"C";228
"992841";992841;2;65;"F";3;2;"B";225
"957612";957612;1;35;"M";1;4;"A";271
"595333";595333;4;35;"F";0;1;"A";211
"549880";549880;2;35;"M";2;2;"A";226
"657200";657200;2;25;"M";0;1;"A";202
"17202";17202;2;45;"M";1;2;"A";227
"941655";941655;5;60;"F";2;2;"A";276
"907932";907932;1;50;"F";1;1;"B";214
"536624";536624;2;45;"F";2;3;"A";271
"270132";270132;8;40;"M";1;4;"C";255
"876104";876104;1;55;"F";2;2;"B";218
"20420";20420;7;35;"M";0;2;"C";203
"253125";253125;8;60;"F";5;2;"B";272
"771482";771482;8;65;"F";1;1;"B";276
"613659";613659;1;25;"F";0;2;"A";237
"302473";302473;7;25;"M";0;2;"C";218
"115565";115565;8;65;"F";2;2;"C";252
"276802";276802;1;45;"M";4;2;"A";230
"699858";699858;4;40;"F";3;4;"A";283
"1752";1752;7;35;"M";3;2;"B";257
"735585";735585;7;35;"M";2;2;"C";253
"992016";992016;1;65;"F";1;3;"C";248
"761467";761467;3;55;"M";4;4;"A";237
"122924";122924;4;30;"F";1;1;"A";230
"785799";785799;6;65;"F";2;1;"C";207
"824698";824698;4;60;"M";2;3;"A";257
"286636";286636;1;65;"F";2;2;"B";250
"282769";282769;5;50;"M";2;2;"A";221
"412877";412877;8;30;"F";0;1;"B";231
"917259";917259;7;60;"M";6;1;"B";226
"152280";152280;6;40;"F";1;2;"B";236
"221243";221243;7;30;"M";0;3;"C";255
"594890";594890;3;65;"M";2;1;"A";180
"668563";668563;2;50;"M";1;2;"A";192
"533250";533250;2;40;"F";2;4;"A";244
"124404";124404;1;55;"M";1;3;"B";235
"541326";541326;8;35;"F";1;3;"A";248
"275690";275690;8;20;"M";0;3;"A";249
"461406";461406;4;50;"M";2;2;"C";219
"701447";701447;8;60;"M";3;3;"C";228
"644967";644967;3;35;"M";0;3;"A";205
"52258";52258;4;30;"F";0;3;"A";250
"105236";105236;6;25;"F";0;2;"B";234
"694268";694268;4;20;"M";0;1;"B";212
"649744";649744;4;25;"F";0;4;"A";246
"429809";429809;5;20;"M";1;2;"A";231
"367694";367694;8;55;"F";4;3;"A";263
"783010";783010;7;45;"F";1;2;"A";252
"678154";678154;8;25;"F";0;4;"B";289
"223981";223981;2;35;"F";0;2;"B";239
"726748";726748;5;30;"M";2;4;"A";221
"908991";908991;1;65;"M";0;2;"B";194
"721974";721974;8;40;"F";2;3;"B";260
"165910";165910;4;65;"M";1;1;"A";236
"349530";349530;5;40;"M";2;3;"B";228
"981889";981889;3;25;"M";0;3;"A";219
"639169";639169;7;50;"M";3;3;"C";225
"742925";742925;3;50;"M";2;2;"A";239
"541631";541631;8;25;"F";0;2;"A";241
"565469";565469;5;25;"F";0;2;"C";279
"943532";943532;5;60;"M";3;2;"A";229
"40640";40640;2;40;"M";2;3;"C";239
"46560";46560;8;65;"F";2;2;"B";217
"810943";810943;6;25;"M";0;2;"C";228
"917065";917065;1;25;"F";0;2;"A";213
"797477";797477;4;20;"M";0;3;"A";193
"291920";291920;8;30;"F";0;1;"B";209
"106220";106220;2;40;"F";0;1;"A";252
"731921";731921;6;50;"F";2;1;"B";241
"203985";203985;2;40;"F";0;1;"A";217
"75651";75651;5;40;"M";2;3;"A";248
"877266";877266;3;45;"F";2;2;"B";224
"991695";991695;4;25;"F";0;2;"A";261
"967045";967045;7;50;"F";3;1;"B";242
"13746";13746;8;55;"F";4;2;"B";236
"550140";550140;1;40;"M";0;1;"A";193
"385947";385947;8;40;"M";2;2;"A";233
"390391";390391;3;20;"F";0;1;"C";232
"312920";312920;8;50;"M";2;2;"B";229
"183947";183947;1;65;"M";2;2;"B";230
"922315";922315;7;25;"M";0;3;"C";232
"840878";840878;4;45;"M";3;3;"A";216
"271556";271556;2;60;"M";4;1;"A";218
"167808";167808;1;25;"M";1;2;"B";210
"485732";485732;5;65;"F";4;2;"B";263
"576714";576714;3;60;"F";1;1;"A";229
"203317";203317;5;35;"M";4;2;"B";238
"744845";744845;7;45;"F";0;3;"C";263
"458350";458350;3;30;"F";0;2;"A";202
"29819";29819;2;35;"M";0;4;"A";225
"380385";380385;6;65;"F";3;2;"B";230
"336251";336251;2;55;"M";1;2;"C";226
"726444";726444;6;25;"F";0;1;"B";225
"270525";270525;4;30;"F";0;2;"A";214
"734470";734470;8;55;"M";3;1;"C";181
"990815";990815;8;45;"M";2;3;"B";224
"478808";478808;3;35;"F";1;4;"A";251
"826246";826246;1;25;"M";1;1;"A";230
"556363";556363;1;25;"F";0;2;"A";217
"369311";369311;7;45;"M";3;1;"C";187
"65130";65130;3;25;"F";0;4;"B";287
"569171";569171;1;20;"M";0;2;"A";243
"793346";793346;6;25;"F";0;3;"A";252
"181565";181565;1;60;"M";1;1;"C";227
"351699";351699;3;20;"F";0;3;"A";273
"357668";357668;2;45;"F";2;3;"C";267
"864274";864274;1;25;"F";0;2;"B";234
"854101";854101;4;40;"M";0;3;"A";236
"347598";347598;1;20;"F";0;3;"A";282
"805715";805715;1;55;"M";2;2;"A";214
"498040";498040;7;30;"F";2;3;"C";227
"560069";560069;2;55;"F";5;2;"A";238
"304793";304793;5;35;"F";1;1;"B";235
"865670";865670;3;45;"F";3;4;"A";263
"223198";223198;3;35;"M";2;3;"C";235
"546889";546889;3;25;"F";0;1;"B";247
"187957";187957;7;30;"M";1;2;"A";228
"320611";320611;3;60;"M";0;1;"A";211
"264949";264949;3;25;"F";0;2;"A";251
"933775";933775;1;20;"M";0;2;"B";240
"459614";459614;4;45;"F";1;3;"A";241
"834476";834476;7;65;"F";3;3;"B";232
"687567";687567;2;20;"F";0;3;"A";219
"175188";175188;2;35;"F";1;1;"A";215
"401934";401934;6;20;"F";0;1;"A";244
"787979";787979;3;25;"F";1;4;"A";262
"152894";152894;6;20;"M";0;3;"A";236
"609851";609851;8;20;"M";0;3;"A";227
"974021";974021;1;55;"M";1;2;"A";219
"260917";260917;8;35;"F";0;4;"A";265
"161965";161965;7;25;"F";0;2;"A";214
"562505";562505;1;30;"F";2;2;"C";279
"747870";747870;8;35;"M";0;4;"A";273
"557982";557982;3;50;"F";1;1;"C";236
"305787";305787;8;45;"M";0;2;"A";197
"285261";285261;3;40;"F";1;1;"A";246
"701957";701957;1;35;"M";2;4;"A";224
"373856";373856;4;20;"M";0;3;"A";246
"32129";32129;6;30;"M";1;3;"C";191
"20520";20520;5;25;"F";0;3;"C";236
"249570";249570;2;20;"M";0;3;"A";251
"154858";154858;1;65;"M";2;1;"A";209
"188444";188444;7;30;"M";1;1;"C";245
"408666";408666;2;25;"F";0;3;"A";209
"645972";645972;8;60;"M";3;1;"C";196
"48469";48469;4;30;"F";1;1;"B";237
"97730";97730;8;60;"F";0;1;"A";249
"135288";135288;3;40;"F";2;3;"A";251
"656052";656052;4;30;"F";2;3;"B";253
"269606";269606;6;20;"F";0;1;"A";205
"423841";423841;8;25;"F";2;2;"A";237
"512951";512951;6;35;"M";0;2;"C";212
"363588";363588;5;35;"M";0;3;"B";215
"126461";126461;6;55;"M";1;2;"B";273
"911751";911751;4;30;"F";3;2;"A";222
"71215";71215;6;30;"F";3;3;"B";268
"371209";371209;5;60;"M";1;3;"C";205
"702561";702561;1;25;"F";0;2;"A";244
"732872";732872;1;60;"M";3;1;"B";175
"879796";879796;2;40;"M";2;2;"A";214
"203837";203837;7;20;"M";0;3;"C";212
"883348";883348;1;60;"M";4;1;"A";180
"545339";545339;4;45;"M";3;4;"C";234
"195605";195605;4;45;"F";2;3;"A";225
"545881";545881;6;30;"M";1;3;"B";243
"357810";357810;2;45;"F";3;2;"A";250
"376241";376241;7;30;"M";2;3;"C";242
"160622";160622;3;35;"M";0;2;"A";208
"751834";751834;7;35;"M";3;2;"C";223
"704924";704924;5;25;"M";0;4;"B";226
"188533";188533;4;50;"F";0;1;"C";211
"631553";631553;3;55;"F";1;2;"B";248
"553907";553907;2;20;"F";0;3;"A";273
"168297";168297;6;60;"M";1;1;"B";229
"245022";245022;7;30;"F";1;3;"A";238
"906631";906631;3;60;"M";2;4;"A";243
"277520";277520;6;30;"M";0;2;"B";253
"944488";944488;3;60;"F";1;2;"C";237
"448281";448281;1;20;"M";0;2;"A";227
"313451";313451;8;35;"M";2;1;"B";194
"534728";534728;7;65;"M";3;1;"B";202
"172663";172663;6;25;"F";0;3;"A";238
"904869";904869;3;50;"M";0;1;"C";219
"608178";608178;2;35;"M";2;2;"A";221
"54672";54672;3;45;"F";5;4;"C";261
"558016";558016;7;65;"F";2;2;"C";234
"537012";537012;6;50;"F";3;3;"C";251
"344763";344763;7;60;"F";4;3;"C";250
"430631";430631;1;25;"M";0;3;"A";234
"616076";616076;3;25;"M";0;4;"C";241
"606408";606408;2;55;"F";1;1;"A";233
"209785";209785;2;35;"M";2;3;"A";252
"657102";657102;8;55;"F";2;1;"C";209
"300610";300610;4;35;"F";1;4;"A";283
"455978";455978;1;65;"M";3;1;"B";226
"419900";419900;1;60;"M";1;1;"A";224
"207216";207216;6;60;"F";5;2;"C";253
"547141";547141;1;65;"M";2;1;"A";252
"221886";221886;5;65;"F";1;1;"A";251
"496783";496783;4;65;"M";2;4;"B";241
"671077";671077;6;25;"F";0;1;"A";235
"202883";202883;7;30;"M";0;1;"A";203
"744468";744468;1;55;"M";4;2;"A";259
"572";572;5;50;"M";3;1;"B";261
"838114";838114;7;25;"F";0;2;"C";263
"360642";360642;4;20;"M";0;3;"A";234
"591715";591715;3;30;"M";1;3;"A";219
"177115";177115;1;35;"F";0;4;"A";NA
"910602";910602;1;55;"F";1;1;"A";225
"46162";46162;5;20;"M";0;3;"A";215
"961664";961664;4;65;"F";4;2;"C";249
"41304";41304;1;35;"M";2;2;"A";239
"491527";491527;7;65;"F";3;1;"C";243
"248259";248259;4;20;"F";0;3;"A";275
"652359";652359;6;55;"M";0;3;"B";245
"107612";107612;4;50;"F";4;3;"B";247
"211978";211978;7;35;"M";1;2;"B";246
"305047";305047;6;50;"M";3;3;"B";197
"633160";633160;4;20;"F";0;3;"A";276
"981895";981895;6;20;"M";0;3;"A";247
"57344";57344;5;20;"F";0;1;"A";249
"592514";592514;2;65;"F";3;1;"C";246
"661644";661644;2;65;"M";1;1;"A";232
"932253";932253;8;45;"F";1;3;"A";239
"126281";126281;4;65;"M";1;1;"C";240
"956495";956495;2;55;"F";1;1;"B";223
"215093";215093;8;35;"F";0;3;"B";276
"757240";757240;6;35;"F";0;3;"A";239
"576812";576812;4;25;"M";0;2;"A";238
"667800";667800;6;35;"F";2;3;"B";262
"608827";608827;5;20;"F";0;2;"A";276
"42979";42979;3;25;"M";0;2;"A";210
"757342";757342;8;30;"M";2;3;"B";250
"693719";693719;5;35;"F";0;1;"B";234
"553829";553829;7;60;"F";1;1;"C";278
"719674";719674;2;30;"F";1;1;"A";244
"120307";120307;4;50;"M";1;2;"A";219
"120354";120354;3;55;"M";4;1;"A";239
"279422";279422;2;60;"M";2;2;"A";260
"985922";985922;4;30;"F";3;2;"A";232
"281265";281265;7;25;"M";1;3;"B";241
"99255";99255;5;35;"F";4;2;"B";235
"645101";645101;5;20;"F";0;3;"A";243
"416313";416313;2;40;"F";0;1;"A";222
"613991";613991;5;20;"F";0;3;"B";244
"406411";406411;3;40;"M";1;1;"A";199
"720221";720221;7;50;"F";0;1;"C";234
"953804";953804;5;25;"F";0;3;"A";295
"870101";870101;3;25;"M";0;4;"A";248
"554914";554914;7;40;"M";2;2;"A";208
"47761";47761;4;60;"F";6;3;"A";269
"841620";841620;2;45;"F";1;2;"A";238
"952010";952010;3;30;"M";2;3;"A";230
"603922";603922;5;25;"M";0;3;"A";232
"808054";808054;4;40;"F";3;2;"A";226
"679816";679816;4;40;"F";3;1;"B";272
"401157";401157;5;55;"F";1;4;"C";NA
"604907";604907;5;45;"F";3;1;"A";209
"721278";721278;6;65;"M";2;1;"C";217
"165780";165780;8;55;"F";3;2;"B";260
"623757";623757;2;35;"M";3;3;"A";178
"962811";962811;7;30;"M";0;3;"C";243
"107947";107947;8;40;"M";4;3;"B";215
"712485";712485;4;55;"M";0;2;"A";234
"643160";643160;8;35;"M";2;1;"B";166
"129185";129185;3;20;"F";0;1;"C";213
"299413";299413;3;40;"F";2;2;"A";232
"540526";540526;2;20;"F";0;3;"A";233
"653709";653709;8;65;"M";3;3;"A";249
"818613";818613;8;35;"M";5;4;"B";224
"740847";740847;8;25;"F";1;3;"B";251
"684001";684001;5;20;"F";0;2;"B";251
"730634";730634;7;40;"F";0;2;"C";243
"867715";867715;6;35;"F";2;2;"A";227
"62655";62655;7;40;"F";4;2;"C";256
"831531";831531;8;45;"F";1;1;"C";226
"670542";670542;3;40;"F";2;2;"A";281
"29239";29239;5;25;"M";0;2;"B";222
"805643";805643;4;60;"M";0;1;"A";218
"183921";183921;5;50;"M";3;1;"C";189
"632885";632885;2;55;"F";3;3;"A";268
"592941";592941;5;40;"F";3;4;"B";271
"669218";669218;1;45;"M";1;2;"A";244
"236944";236944;1;65;"F";2;3;"B";248
"969138";969138;7;25;"M";0;3;"A";224
"387803";387803;8;20;"F";0;2;"B";264
"13540";13540;3;40;"F";3;3;"B";247
"851852";851852;5;65;"M";3;3;"C";240
"758096";758096;7;65;"M";3;4;"C";238
"103248";103248;1;20;"F";0;2;"B";278
"654598";654598;6;40;"M";2;1;"B";240
"816079";816079;1;40;"M";2;4;"A";298
"298865";298865;7;35;"F";2;4;"C";275
"745795";745795;6;25;"F";0;1;"B";246
"732455";732455;4;40;"M";3;1;"B";209
"346080";346080;1;50;"F";1;4;"A";252
"672503";672503;8;50;"F";2;2;"B";251
"933136";933136;4;55;"F";2;1;"A";237
"610041";610041;5;20;"M";0;2;"B";173
"784469";784469;5;40;"F";2;3;"A";269
"331375";331375;3;40;"F";0;4;"B";252
"507334";507334;7;50;"M";0;1;"C";210
"684369";684369;1;20;"F";0;3;"A";262
"28827";28827;6;45;"M";0;1;"B";229
"260946";260946;5;40;"F";0;2;"A";253
"804312";804312;5;65;"F";2;3;"A";242
"619069";619069;7;60;"M";4;4;"C";261
"655077";655077;2;60;"M";0;1;"B";190
"357036";357036;6;45;"M";4;1;"A";207
"512254";512254;1;50;"F";3;4;"A";284
"124356";124356;2;25;"F";0;3;"B";247
"417241";417241;8;50;"M";2;1;"A";226
"529405";529405;2;30;"F";0;1;"A";232
"881269";881269;4;40;"F";2;1;"C";234
"755772";755772;8;65;"M";3;1;"A";186
"606335";606335;4;30;"M";0;2;"A";191
"818740";818740;8;65;"M";3;4;"A";264
"882747";882747;8;30;"M";0;3;"A";231
"531666";531666;6;60;"F";1;2;"A";222
"583327";583327;6;35;"M";4;1;"C";179
"417004";417004;5;20;"F";1;3;"A";245
"33224";33224;3;50;"M";4;1;"B";248
"170210";170210;5;55;"M";2;2;"A";217
"509404";509404;3;20;"M";0;3;"A";257
"179573";179573;2;30;"F";0;1;"B";229
"388930";388930;8;45;"F";1;2;"B";271
"929589";929589;3;30;"M";0;4;"A";246
"959982";959982;7;35;"F";1;1;"B";278
"505362";505362;4;25;"M";0;4;"B";217
"611762";611762;4;40;"M";2;4;"B";254
"354685";354685;4;25;"M";0;2;"C";215
"557898";557898;5;40;"M";1;1;"B";201
"832108";832108;1;20;"M";0;3;"B";244
"741664";741664;1;45;"M";5;2;"A";251
"171955";171955;3;50;"M";1;1;"A";233
"187718";187718;8;60;"M";3;3;"A";207
"629305";629305;3;35;"F";3;3;"C";256
"899811";899811;1;50;"M";1;2;"C";238
"960682";960682;1;60;"M";0;2;"A";232
"754629";754629;2;40;"M";4;1;"A";217
"441339";441339;3;45;"M";3;1;"A";234
"177008";177008;4;65;"F";3;3;"A";258
"898323";898323;4;65;"M";1;1;"A";251
"908597";908597;2;35;"F";1;3;"B";240
"291070";291070;1;50;"M";1;1;"A";197
"327764";327764;6;35;"F";1;4;"B";296
"484775";484775;3;40;"F";1;3;"A";223
"761488";761488;3;65;"M";1;1;"A";NA
"949427";949427;7;45;"M";2;1;"B";224
"884362";884362;7;20;"F";0;3;"C";226
"713640";713640;7;30;"F";0;2;"B";243
"728892";728892;1;60;"M";1;1;"C";191
"985614";985614;2;55;"F";0;4;"C";228
"788706";788706;7;50;"F";3;1;"C";264
"144144";144144;2;25;"F";1;3;"A";295
"696392";696392;1;60;"F";3;3;"A";246
"137076";137076;6;30;"M";0;2;"C";249
"41096";41096;8;40;"M";1;1;"A";196
"291944";291944;1;40;"F";1;2;"A";225
"862636";862636;7;60;"F";5;2;"B";230
