"";"ID";"REGION";"AGE";"SEXE";"ENFANTS";"DIPLOME";"CLASSE";"data_ech_valeurs"
"319073";319073;6;35;"M";1;4;"C";211
"877235";877235;6;20;"F";0;3;"A";280
"531195";531195;6;35;"F";0;1;"B";238
"69619";69619;6;40;"M";2;2;"B";239
"899475";899475;6;30;"M";1;3;"B";249
"976507";976507;6;25;"M";1;4;"C";228
"721338";721338;6;50;"M";1;2;"C";228
"295937";295937;6;45;"F";4;1;"A";240
"414427";414427;6;55;"F";2;2;"B";237
"980794";980794;6;30;"F";1;3;"B";255
"98443";98443;6;55;"F";2;2;"A";261
"941246";941246;6;55;"M";1;2;"B";230
"733449";733449;6;20;"F";0;2;"A";229
"239667";239667;6;25;"F";0;1;"A";254
"705913";705913;6;35;"F";0;2;"B";251
"744408";744408;6;35;"M";1;1;"A";250
"292664";292664;6;50;"M";2;1;"B";234
"69462";69462;6;35;"M";3;2;"A";235
"242578";242578;6;20;"M";0;2;"A";198
"392577";392577;6;35;"M";2;4;"B";279
"866339";866339;6;45;"F";3;3;"A";277
"370657";370657;6;25;"F";1;4;"B";291
"270924";270924;6;60;"M";0;2;"A";199
"136821";136821;6;60;"M";1;2;"A";218
"775827";775827;6;25;"F";0;4;"A";220
"856910";856910;6;30;"M";0;3;"A";228
"609319";609319;6;65;"F";1;1;"A";245
"52949";52949;6;20;"F";0;3;"B";269
"28364";28364;6;30;"F";1;4;"A";258
"709172";709172;6;55;"F";2;1;"B";262
"825486";825486;6;60;"M";2;1;"A";229
"797390";797390;6;30;"M";1;4;"A";236
"330860";330860;6;55;"F";1;3;"B";261
"160611";160611;6;20;"M";0;1;"B";241
"316261";316261;6;30;"F";1;2;"C";281
"737399";737399;6;30;"F";0;3;"C";249
"484795";484795;6;60;"F";1;1;"A";254
"753647";753647;6;30;"F";1;2;"B";282
"431840";431840;6;55;"F";3;1;"B";271
"736275";736275;6;20;"M";0;2;"C";238
"678073";678073;6;40;"F";1;3;"A";297
"87192";87192;6;55;"F";2;1;"A";187
"268710";268710;6;25;"F";0;2;"C";235
"605818";605818;6;55;"F";1;1;"B";254
"441844";441844;6;60;"M";3;2;"C";207
"742519";742519;6;25;"F";0;2;"A";244
"865408";865408;6;20;"M";0;3;"B";250
"828187";828187;6;20;"M";0;1;"A";244
"876923";876923;6;30;"M";1;3;"B";276
"287574";287574;6;45;"F";4;3;"C";282
"504331";504331;6;30;"F";2;2;"A";202
"569358";569358;6;25;"F";0;4;"C";280
"139008";139008;6;20;"F";0;3;"A";257
"778085";778085;6;40;"F";2;2;"B";272
"898866";898866;6;55;"M";3;3;"B";226
"481706";481706;6;60;"F";1;1;"B";285
"262856";262856;6;55;"F";0;1;"B";260
"637702";637702;6;25;"M";0;3;"A";251
"228493";228493;6;60;"F";0;3;"B";250
"320315";320315;6;50;"M";1;3;"A";213
"709708";709708;6;20;"F";1;3;"B";285
"58719";58719;6;35;"F";3;3;"B";292
"426392";426392;6;30;"F";1;2;"A";225
"351453";351453;6;50;"M";3;1;"B";185
"774435";774435;6;45;"F";1;1;"B";217
"534400";534400;6;30;"F";1;4;"A";296
"390713";390713;6;20;"M";0;1;"A";258
"774147";774147;6;20;"F";0;1;"B";245
"514271";514271;6;20;"F";0;1;"B";221
"905167";905167;6;35;"F";1;4;"B";262
"25663";25663;6;20;"M";0;1;"A";248
"432107";432107;6;25;"M";1;4;"C";237
"51703";51703;6;30;"F";1;4;"A";311
"764675";764675;6;35;"F";2;3;"A";259
"201543";201543;6;60;"F";2;1;"A";239
"610505";610505;6;35;"M";1;1;"A";253
"466849";466849;6;20;"F";0;2;"B";272
"740266";740266;6;50;"F";2;1;"C";269
"317300";317300;6;20;"F";0;1;"C";212
"45317";45317;6;40;"F";1;3;"A";294
"468800";468800;6;35;"M";1;1;"B";222
"328252";328252;6;55;"M";1;3;"C";196
"176816";176816;6;60;"F";1;1;"B";270
"915454";915454;6;40;"F";3;2;"B";221
"707064";707064;6;65;"F";3;1;"B";237
"833646";833646;6;55;"F";6;2;"B";218
"309292";309292;6;20;"M";0;2;"B";228
"195702";195702;6;55;"M";3;1;"C";211
"256291";256291;6;30;"M";0;1;"B";201
"462610";462610;6;50;"F";2;1;"A";250
"617379";617379;6;50;"F";3;2;"B";270
"936271";936271;6;50;"M";2;3;"B";242
"914639";914639;6;60;"F";0;3;"A";257
"474865";474865;6;20;"F";0;2;"A";226
"865160";865160;6;45;"M";0;1;"A";236
"613256";613256;6;50;"M";2;2;"B";209
"920225";920225;6;50;"M";0;1;"B";258
"390629";390629;6;25;"F";0;2;"A";256
"65224";65224;6;45;"F";2;1;"A";229
"592715";592715;6;60;"M";2;2;"B";250
"658800";658800;6;45;"M";2;2;"A";238
"302362";302362;6;55;"F";1;2;"B";258
"644707";644707;6;55;"F";2;4;"B";250
"467120";467120;6;40;"F";3;4;"C";235
"433291";433291;6;40;"F";1;1;"C";225
"595677";595677;6;50;"M";1;1;"A";217
"706707";706707;6;60;"F";1;1;"B";244
"427781";427781;6;30;"F";1;4;"A";285
"632608";632608;6;40;"M";2;1;"B";251
"194135";194135;6;25;"F";0;3;"A";280
"7260";7260;6;20;"F";0;3;"B";270
"251206";251206;6;60;"M";4;1;"B";160
"999725";999725;6;20;"F";0;3;"C";219
"242101";242101;6;45;"F";1;1;"B";256
"686752";686752;6;25;"M";0;1;"B";211
"928535";928535;6;35;"M";0;1;"B";189
"934120";934120;6;20;"M";0;3;"B";250
"936104";936104;6;30;"F";1;2;"A";279
"481256";481256;6;50;"F";2;3;"B";261
"339837";339837;6;45;"F";1;1;"A";177
"458025";458025;6;65;"M";5;2;"A";242
"235190";235190;6;25;"F";0;1;"A";231
"729202";729202;6;25;"F";0;2;"B";262
"4388";4388;6;20;"M";0;3;"B";236
"657792";657792;6;30;"F";0;1;"B";291
"370879";370879;6;60;"M";2;1;"C";235
"314746";314746;6;25;"M";0;1;"B";207
"119888";119888;6;60;"M";1;1;"C";214
"357632";357632;6;20;"F";0;3;"A";267
"852789";852789;6;40;"M";1;3;"B";269
"750063";750063;6;50;"F";2;2;"A";254
"350429";350429;6;30;"M";0;2;"B";240
"571247";571247;6;55;"F";1;3;"A";313
"451028";451028;6;20;"M";0;3;"C";274
"688625";688625;6;55;"M";5;2;"B";208
"596239";596239;6;35;"M";2;1;"B";263
"340345";340345;6;40;"M";1;4;"B";225
"349985";349985;6;50;"F";3;2;"B";241
"869104";869104;6;65;"M";0;1;"B";224
"413086";413086;6;60;"F";2;1;"A";259
"254769";254769;6;50;"F";2;1;"A";252
"498353";498353;6;60;"M";2;2;"B";250
"904638";904638;6;20;"M";0;2;"B";246
"783051";783051;6;45;"M";2;3;"B";241
"337331";337331;6;60;"M";6;1;"B";232
"765406";765406;6;40;"M";3;2;"C";234
"698940";698940;6;40;"F";3;2;"B";255
"203816";203816;6;25;"F";1;2;"A";240
"147468";147468;6;40;"M";4;2;"C";257
"766623";766623;6;55;"F";5;2;"A";279
"71215";71215;6;30;"F";3;3;"B";260
"440394";440394;6;30;"M";0;4;"A";248
"51577";51577;6;40;"F";0;2;"B";224
"428649";428649;6;65;"F";1;1;"B";257
"416013";416013;6;20;"M";0;2;"A";213
"643043";643043;6;40;"M";1;3;"B";245
"767822";767822;6;30;"F";0;3;"B";308
"879982";879982;6;35;"M";1;4;"B";261
"43931";43931;6;40;"F";4;3;"C";253
"755999";755999;6;35;"F";2;2;"A";235
"379831";379831;6;65;"M";1;3;"B";217
"543920";543920;6;60;"M";1;1;"A";230
"577168";577168;6;65;"M";4;1;"C";230
"749105";749105;6;30;"F";0;1;"B";219
"458011";458011;6;40;"F";1;4;"C";274
"498498";498498;6;30;"F";0;1;"A";240
"46528";46528;6;25;"M";0;3;"A";236
"435641";435641;6;55;"F";2;3;"A";289
"377383";377383;6;55;"F";1;2;"B";291
"728094";728094;6;35;"M";4;4;"B";257
"349221";349221;6;45;"M";1;2;"B";254
"663898";663898;6;60;"F";3;2;"C";268
"862922";862922;6;20;"M";0;3;"C";209
"117629";117629;6;50;"M";3;2;"B";273
"639939";639939;6;60;"M";4;1;"A";237
"217634";217634;6;35;"M";2;1;"A";191
"758997";758997;6;45;"F";1;4;"B";258
"386397";386397;6;20;"F";0;3;"A";244
"829622";829622;6;25;"F";0;3;"B";250
"478232";478232;6;60;"M";3;1;"B";226
"591535";591535;6;60;"F";4;3;"B";280
"477013";477013;6;25;"F";0;1;"C";229
"271770";271770;6;50;"M";3;2;"A";243
"160487";160487;6;20;"F";0;2;"A";231
"496509";496509;6;50;"M";4;4;"B";193
"886787";886787;6;35;"M";2;2;"A";239
"192725";192725;6;25;"F";1;2;"A";228
"65349";65349;6;65;"M";1;1;"A";226
"337875";337875;6;60;"M";2;2;"B";241
"777795";777795;6;20;"M";0;3;"A";270
"244178";244178;6;60;"M";5;3;"C";239
"48730";48730;6;25;"M";0;2;"A";223
"480413";480413;6;30;"M";1;2;"C";219
"752081";752081;6;45;"F";1;2;"A";274
"261470";261470;6;20;"M";0;2;"A";248
"305107";305107;6;25;"M";0;1;"B";214
"39933";39933;6;65;"F";1;4;"B";291
"144619";144619;6;50;"F";1;2;"C";271
"966226";966226;6;25;"F";0;1;"A";243
"334615";334615;6;30;"F";1;3;"A";246
"339754";339754;6;30;"M";1;3;"B";235
"4431";4431;6;35;"M";0;1;"A";224
"204465";204465;6;35;"M";0;3;"B";225
"820684";820684;6;25;"M";1;4;"A";226
"235921";235921;6;65;"M";3;2;"C";242
"204739";204739;6;35;"M";1;3;"C";248
"311706";311706;6;65;"M";0;4;"B";222
"432018";432018;6;60;"M";0;3;"A";201
"362486";362486;6;20;"F";0;2;"B";261
"530127";530127;6;20;"M";0;3;"B";237
"557385";557385;6;40;"M";3;3;"A";244
"362031";362031;6;65;"M";5;1;"B";201
"640567";640567;6;35;"M";4;3;"A";224
"762268";762268;6;45;"F";3;3;"C";274
"572664";572664;6;20;"M";0;2;"A";225
"779902";779902;6;30;"F";2;3;"B";243
"301521";301521;6;50;"M";4;2;"B";267
"512850";512850;6;20;"F";0;2;"B";240
"815958";815958;6;35;"F";1;1;"A";262
"777968";777968;6;55;"F";3;1;"A";240
"990403";990403;6;40;"F";4;1;"C";252
"928533";928533;6;20;"F";0;2;"A";244
"467790";467790;6;60;"F";2;3;"C";238
"17258";17258;6;65;"M";3;3;"B";232
"674617";674617;6;50;"F";2;1;"A";207
"239122";239122;6;25;"M";0;2;"A";222
"131832";131832;6;25;"F";0;2;"C";227
"893152";893152;6;65;"F";1;1;"A";267
"555775";555775;6;40;"M";2;1;"A";227
"209988";209988;6;20;"M";1;2;"A";249
"324146";324146;6;40;"F";3;2;"B";275
"256492";256492;6;25;"F";0;2;"C";246
"451117";451117;6;60;"F";2;2;"A";265
"70879";70879;6;30;"M";0;1;"C";182
"999185";999185;6;40;"F";4;4;"B";287
"21313";21313;6;65;"M";4;2;"B";207
"859818";859818;6;60;"M";2;2;"B";215
"68480";68480;6;60;"M";1;1;"A";190
"402729";402729;6;45;"M";0;3;"A";206
"291507";291507;6;35;"F";2;1;"B";234
"727952";727952;6;20;"M";0;3;"A";241
"299296";299296;6;25;"F";0;4;"B";227
"848178";848178;6;55;"F";1;2;"A";230
"366582";366582;6;45;"M";3;2;"A";200
"1844";1844;6;50;"M";3;1;"C";214
"733293";733293;6;65;"M";0;2;"A";246
"159990";159990;6;25;"F";0;3;"A";286
"163697";163697;6;35;"F";4;2;"B";269
"502728";502728;6;65;"F";1;1;"A";269
"839191";839191;6;60;"M";2;1;"A";225
"664882";664882;6;55;"M";0;1;"C";235
"947082";947082;6;25;"F";1;3;"A";NA
"814820";814820;6;55;"F";0;1;"B";252
"66544";66544;6;45;"F";1;2;"B";222
"115182";115182;6;60;"F";2;3;"A";275
"406689";406689;6;25;"F";0;4;"B";274
"902426";902426;6;40;"M";1;4;"B";270
"82517";82517;6;65;"M";3;2;"C";159
"838517";838517;6;45;"M";2;4;"A";288
"509845";509845;6;55;"F";3;4;"A";284
"714559";714559;6;25;"M";0;4;"B";242
"590510";590510;6;40;"F";2;4;"B";297
"333680";333680;6;65;"F";0;2;"A";273
"438830";438830;6;20;"M";0;3;"A";219
"602856";602856;6;50;"M";2;1;"A";207
"257980";257980;6;50;"M";0;1;"B";227
"120457";120457;6;65;"M";1;2;"B";251
"513307";513307;6;35;"F";1;2;"A";259
"142729";142729;6;30;"M";1;4;"A";227
"191943";191943;6;30;"M";0;3;"A";238
"780966";780966;6;65;"M";2;4;"C";276
"90820";90820;6;65;"F";2;1;"A";276
"79739";79739;6;40;"F";0;2;"A";297
"906920";906920;6;50;"M";1;1;"B";209
"808422";808422;6;60;"M";1;2;"B";210
"416931";416931;6;20;"F";0;2;"B";271
"574930";574930;6;45;"F";3;2;"A";271
"904835";904835;6;20;"F";0;3;"C";274
"883639";883639;6;45;"M";3;1;"C";235
"745604";745604;6;40;"M";1;2;"B";216
"813889";813889;6;55;"M";2;2;"A";249
"958537";958537;6;60;"F";1;1;"A";237
"968307";968307;6;50;"M";0;2;"B";204
"740532";740532;6;65;"F";2;4;"B";255
"798531";798531;6;60;"M";0;2;"A";221
"160960";160960;6;45;"M";1;3;"B";230
"647525";647525;6;30;"F";2;1;"C";229
"360198";360198;6;65;"M";0;4;"B";262
"938883";938883;6;25;"F";0;4;"A";266
"650681";650681;6;35;"F";3;1;"A";253
"743170";743170;6;45;"M";4;4;"A";278
"583853";583853;6;50;"M";2;4;"B";235
"789423";789423;6;50;"M";1;2;"B";234
"232423";232423;6;30;"F";0;3;"A";245
"702362";702362;6;45;"F";2;4;"B";289
"404771";404771;6;65;"M";0;2;"B";186
"983996";983996;6;35;"F";0;2;"B";231
"330303";330303;6;65;"M";1;1;"A";196
"627560";627560;6;50;"F";3;1;"C";263
"395856";395856;6;40;"F";3;2;"A";226
"601906";601906;6;50;"F";3;3;"A";252
"520633";520633;6;55;"F";2;1;"B";278
"534234";534234;6;30;"F";0;2;"B";238
"776426";776426;6;55;"M";2;1;"B";216
"807125";807125;6;35;"M";5;2;"A";214
"774925";774925;6;45;"F";3;1;"B";263
"314369";314369;6;40;"F";3;2;"B";245
"490827";490827;6;25;"M";0;3;"A";270
"564473";564473;6;65;"F";3;1;"A";238
"99309";99309;6;25;"F";0;1;"A";261
"956611";956611;6;40;"M";1;4;"B";265
"771843";771843;6;35;"F";1;2;"B";236
"237326";237326;6;65;"M";2;3;"A";209
"664331";664331;6;30;"F";0;2;"C";232
"180719";180719;6;45;"F";2;3;"A";229
"151593";151593;6;35;"F";0;3;"A";247
"356624";356624;6;55;"M";0;1;"A";206
"594245";594245;6;50;"M";3;1;"B";214
"119529";119529;6;55;"M";3;1;"B";199
"922428";922428;6;25;"M";1;3;"A";226
"809360";809360;6;25;"M";0;2;"A";205
"998948";998948;6;60;"M";3;1;"B";230
"275799";275799;6;55;"F";3;3;"B";223
"451478";451478;6;65;"M";5;1;"B";184
"414011";414011;6;20;"M";0;2;"A";208
"514950";514950;6;25;"M";0;2;"B";236
"338334";338334;6;45;"F";3;1;"B";228
"329017";329017;6;50;"F";0;4;"C";272
"556434";556434;6;60;"F";1;1;"A";290
"445205";445205;6;50;"F";0;4;"C";309
"781787";781787;6;30;"M";1;1;"A";208
"124973";124973;6;45;"F";0;1;"A";216
"61195";61195;6;55;"F";0;1;"A";242
"787092";787092;6;30;"F";2;2;"B";226
"982397";982397;6;20;"F";0;1;"B";241
"729601";729601;6;30;"M";2;2;"B";217
"361686";361686;6;55;"M";2;3;"C";272
"355743";355743;6;20;"F";0;3;"A";260
"605288";605288;6;25;"M";0;1;"A";200
"406958";406958;6;45;"F";3;1;"B";210
"180615";180615;6;50;"M";0;2;"B";215
"431713";431713;6;30;"F";0;4;"B";314
"108623";108623;6;40;"F";1;1;"A";205
"555885";555885;6;60;"F";2;2;"A";277
"386577";386577;6;55;"F";1;4;"B";288
"806148";806148;6;45;"F";2;2;"B";258
"323027";323027;6;35;"F";3;1;"B";242
"838705";838705;6;30;"M";0;3;"A";267
"605527";605527;6;65;"F";3;3;"B";278
"969920";969920;6;40;"M";0;1;"A";226
"832976";832976;6;55;"F";2;1;"A";202
"574859";574859;6;60;"M";1;2;"C";232
"346891";346891;6;65;"M";2;1;"B";174
"482792";482792;6;35;"M";4;3;"C";215
"592024";592024;6;35;"F";5;2;"B";221
"15935";15935;6;25;"M";1;2;"B";233
"156159";156159;6;45;"F";0;3;"A";NA
"442799";442799;6;65;"M";2;2;"A";218
"804951";804951;6;60;"M";2;1;"C";234
"659006";659006;6;45;"M";2;4;"B";266
"865756";865756;6;40;"F";1;2;"A";223
"351010";351010;6;30;"F";0;4;"A";262
"93419";93419;6;65;"M";3;2;"A";226
"71141";71141;6;25;"M";1;2;"A";244
"751638";751638;6;25;"F";2;3;"B";263
"243874";243874;6;20;"F";0;3;"B";309
"551814";551814;6;55;"M";1;1;"C";244
"760320";760320;6;55;"F";3;2;"B";235
"82968";82968;6;55;"F";1;2;"B";216
"99342";99342;6;20;"M";0;2;"B";231
